Date;Time;PizzaType;Quantity;Size;PriceEUR;Waiter;Table;InvoiceNumber
2025-10-04;19:19;Pizza Hawaii;2;Medium;18,0;Jonas;2;51893
2025-10-04;20:10;Pizza Hawaii;1;Large;11,25;Maria;3;51894
2025-10-04;12:39;Pizza Prosciutto;2;Small;18,0;Sophie;5;51895
2025-10-04;12:24;Pizza Diavola;3;Medium;30,0;Sophie;10;51896
2025-10-04;18:45;Pizza Margherita;2;Large;20,0;Jonas;5;51897
2025-10-04;13:15;Pizza Margherita;1;Small;8,0;Leon;5;51898
2025-10-04;11:03;Pizza Hawaii;1;Small;9,0;Luca;5;51899
2025-10-04;14:19;Pizza Prosciutto;3;Large;33,75;Maria;4;51900
2025-10-04;17:47;Pizza Margherita;3;Large;30,0;Mark;5;51901
2025-10-04;13:21;Pizza Hawaii;2;Small;18,0;Maria;1;51902
2025-10-04;22:44;Pizza Hawaii;3;Medium;27,0;Sophie;3;51903
2025-10-04;19:26;Pizza Margherita;2;Medium;16,0;Maria;9;51904
2025-10-04;11:27;Pizza Hawaii;3;Small;27,0;Jonas;3;51905
2025-10-04;11:59;Pizza Funghi;1;Small;9,0;Leon;7;51906
2025-10-04;14:34;Pizza Diavola;1;Small;10,0;Luca;6;51907
2025-10-04;14:27;Pizza Diavola;2;Large;25,0;Luca;6;51908
2025-10-04;21:05;Pizza Funghi;3;Medium;27,0;Leon;4;51909
2025-10-04;21:23;Pizza Diavola;1;Small;10,0;Eva;3;51910
2025-10-04;11:30;Pizza Margherita;3;Medium;24,0;Mark;11;51911
2025-10-04;20:20;Pizza Margherita;3;Small;24,0;Jonas;2;51912
2025-10-04;13:17;Pizza Salami;1;Small;9,0;Leon;4;51913
2025-10-04;12:57;Pizza Salami;3;Medium;27,0;Luca;4;51914
2025-10-04;18:31;Pizza Hawaii;3;Large;33,75;Maria;5;51915
2025-10-04;18:26;Pizza Hawaii;2;Medium;18,0;Jonas;7;51916
2025-10-04;17:39;Pizza Margherita;1;Large;10,0;Luca;2;51917
2025-10-04;12:47;Pizza Prosciutto;3;Small;27,0;Maria;1;51918
2025-10-04;13:25;Pizza Hawaii;3;Large;33,75;Jonas;6;51919
2025-10-04;14:12;Pizza Salami;2;Large;22,5;Eva;7;51920
2025-10-04;14:44;Pizza Funghi;1;Small;9,0;Jonas;7;51921
2025-10-04;12:15;Pizza Hawaii;2;Large;22,5;Leon;6;51922
2025-10-04;20:33;Pizza Salami;2;Small;18,0;Sophie;10;51923
2025-10-04;13:21;Pizza Prosciutto;3;Large;33,75;Sophie;9;51924
2025-10-04;13:21;Pizza Prosciutto;2;Large;22,5;Maria;12;51925
2025-10-04;17:51;Pizza Prosciutto;2;Large;22,5;Maria;11;51926
2025-10-04;22:42;Pizza Salami;1;Large;11,25;Luca;10;51927
2025-10-04;21:59;Pizza Funghi;1;Medium;9,0;Luca;5;51928
2025-10-04;12:44;Pizza Prosciutto;2;Small;18,0;Jonas;10;51929
2025-10-04;20:15;Pizza Margherita;1;Medium;8,0;Maria;11;51930
2025-10-04;18:29;Pizza Diavola;3;Large;37,5;Jonas;3;51931
2025-10-04;19:27;Pizza Margherita;2;Small;16,0;Jonas;11;51932
2025-10-04;11:25;Pizza Funghi;1;Medium;9,0;Luca;11;51933
2025-10-04;13:08;Pizza Prosciutto;1;Small;9,0;Leon;1;51934
2025-10-04;12:00;Pizza Hawaii;3;Small;27,0;Eva;8;51935
2025-10-04;12:53;Pizza Salami;1;Large;11,25;Jonas;12;51936
2025-10-05;17:15;Pizza Salami;1;Medium;9,0;Luca;11;51937
2025-10-05;21:21;Pizza Margherita;1;Small;8,0;Eva;7;51938
2025-10-05;14:25;Pizza Diavola;3;Small;30,0;Mark;1;51939
2025-10-05;17:28;Pizza Funghi;2;Small;18,0;Eva;8;51940
2025-10-05;13:48;Pizza Diavola;2;Medium;20,0;Jonas;10;51941
2025-10-05;20:04;Pizza Prosciutto;2;Medium;18,0;Jonas;9;51942
2025-10-05;21:38;Pizza Salami;1;Large;11,25;Luca;12;51943
2025-10-05;11:22;Pizza Salami;2;Medium;18,0;Luca;11;51944
2025-10-05;21:35;Pizza Prosciutto;2;Large;22,5;Luca;5;51945
2025-10-05;12:57;Pizza Salami;3;Small;27,0;Luca;5;51946
2025-10-05;17:55;Pizza Prosciutto;1;Medium;9,0;Eva;3;51947
2025-10-05;18:48;Pizza Diavola;3;Small;30,0;Luca;12;51948
2025-10-05;20:49;Pizza Diavola;3;Small;30,0;Maria;9;51949
2025-10-05;17:50;Pizza Salami;3;Medium;27,0;Maria;7;51950
2025-10-05;19:00;Pizza Funghi;1;Large;11,25;Jonas;7;51951
2025-10-05;19:43;Pizza Salami;1;Small;9,0;Sophie;7;51952
2025-10-05;13:45;Pizza Salami;2;Large;22,5;Jonas;10;51953
2025-10-05;12:34;Pizza Diavola;3;Medium;30,0;Maria;8;51954
2025-10-05;14:28;Pizza Hawaii;2;Medium;18,0;Jonas;7;51955
2025-10-05;22:33;Pizza Margherita;3;Small;24,0;Leon;10;51956
2025-10-05;14:57;Pizza Funghi;1;Small;9,0;Eva;2;51957
2025-10-05;13:28;Pizza Margherita;1;Medium;8,0;Maria;3;51958
2025-10-05;17:35;Pizza Hawaii;2;Medium;18,0;Luca;8;51959
2025-10-05;14:34;Pizza Prosciutto;1;Medium;9,0;Mark;5;51960
2025-10-05;20:17;Pizza Salami;1;Medium;9,0;Mark;1;51961
2025-10-05;22:31;Pizza Margherita;1;Large;10,0;Maria;4;51962
2025-10-05;13:12;Pizza Margherita;3;Small;24,0;Eva;1;51963
2025-10-05;17:29;Pizza Diavola;1;Small;10,0;Leon;4;51964
2025-10-05;20:47;Pizza Diavola;1;Medium;10,0;Jonas;4;51965
2025-10-05;13:18;Pizza Salami;1;Large;11,25;Maria;3;51966
2025-10-05;11:40;Pizza Funghi;3;Large;33,75;Eva;3;51967
2025-10-05;13:27;Pizza Prosciutto;2;Small;18,0;Maria;10;51968
2025-10-05;20:18;Pizza Margherita;2;Medium;16,0;Jonas;4;51969
2025-10-05;21:04;Pizza Hawaii;3;Large;33,75;Jonas;4;51970
2025-10-05;20:58;Pizza Hawaii;1;Large;11,25;Eva;10;51971
2025-10-05;17:38;Pizza Hawaii;1;Medium;9,0;Jonas;6;51972
2025-10-05;18:38;Pizza Hawaii;2;Large;22,5;Luca;7;51973
2025-10-05;21:34;Pizza Salami;3;Small;27,0;Maria;11;51974
2025-10-05;19:17;Pizza Salami;3;Large;33,75;Luca;12;51975
2025-10-05;12:57;Pizza Funghi;1;Large;11,25;Jonas;8;51976
2025-10-05;13:45;Pizza Salami;1;Medium;9,0;Sophie;6;51977
2025-10-05;11:49;Pizza Diavola;3;Small;30,0;Maria;4;51978
2025-10-05;21:28;Pizza Salami;1;Large;11,25;Maria;6;51979
2025-10-05;14:47;Pizza Hawaii;1;Medium;9,0;Leon;8;51980
2025-10-05;14:16;Pizza Diavola;3;Medium;30,0;Sophie;5;51981
2025-10-05;21:03;Pizza Funghi;2;Large;22,5;Eva;9;51982
2025-10-05;19:43;Pizza Diavola;2;Small;20,0;Maria;8;51983
2025-10-06;12:18;Pizza Funghi;3;Small;27,0;Jonas;12;51984
2025-10-06;11:12;Pizza Salami;2;Medium;18,0;Eva;5;51985
2025-10-06;12:19;Pizza Diavola;1;Medium;10,0;Maria;11;51986
2025-10-06;17:02;Pizza Funghi;1;Medium;9,0;Jonas;6;51987
2025-10-06;11:59;Pizza Salami;1;Large;11,25;Maria;12;51988
2025-10-06;11:37;Pizza Salami;1;Medium;9,0;Luca;2;51989
2025-10-06;20:44;Pizza Margherita;1;Small;8,0;Jonas;9;51990
2025-10-06;11:15;Pizza Margherita;2;Small;16,0;Jonas;8;51991
2025-10-06;20:36;Pizza Prosciutto;3;Large;33,75;Jonas;10;51992
2025-10-06;17:17;Pizza Prosciutto;3;Small;27,0;Sophie;4;51993
2025-10-06;22:14;Pizza Prosciutto;3;Small;27,0;Jonas;9;51994
2025-10-06;22:53;Pizza Diavola;3;Medium;30,0;Luca;9;51995
2025-10-06;17:10;Pizza Prosciutto;2;Large;22,5;Mark;2;51996
2025-10-06;22:11;Pizza Hawaii;1;Large;11,25;Maria;8;51997
2025-10-06;14:35;Pizza Prosciutto;2;Small;18,0;Sophie;8;51998
2025-10-06;14:49;Pizza Hawaii;1;Small;9,0;Luca;10;51999
2025-10-06;19:53;Pizza Margherita;3;Large;30,0;Luca;10;52000
2025-10-06;17:52;Pizza Prosciutto;1;Small;9,0;Eva;9;52001
2025-10-06;21:12;Pizza Salami;2;Large;22,5;Jonas;4;52002
2025-10-06;12:17;Pizza Funghi;3;Medium;27,0;Maria;5;52003
2025-10-06;17:01;Pizza Funghi;2;Medium;18,0;Jonas;1;52004
2025-10-07;19:44;Pizza Funghi;1;Large;11,25;Luca;11;52005
2025-10-07;11:53;Pizza Diavola;1;Medium;10,0;Luca;4;52006
2025-10-07;13:48;Pizza Diavola;3;Large;37,5;Luca;7;52007
2025-10-07;17:21;Pizza Salami;3;Large;33,75;Maria;1;52008
2025-10-07;21:32;Pizza Diavola;2;Medium;20,0;Jonas;8;52009
2025-10-07;13:00;Pizza Hawaii;1;Large;11,25;Maria;11;52010
2025-10-07;12:27;Pizza Funghi;1;Large;11,25;Leon;7;52011
2025-10-07;21:37;Pizza Hawaii;3;Large;33,75;Luca;5;52012
2025-10-07;21:52;Pizza Diavola;1;Small;10,0;Maria;10;52013
2025-10-07;19:16;Pizza Margherita;1;Large;10,0;Mark;2;52014
2025-10-07;12:00;Pizza Salami;3;Large;33,75;Maria;5;52015
2025-10-07;14:00;Pizza Funghi;1;Large;11,25;Luca;10;52016
2025-10-07;18:27;Pizza Hawaii;3;Medium;27,0;Jonas;5;52017
2025-10-07;12:57;Pizza Hawaii;2;Small;18,0;Jonas;10;52018
2025-10-07;13:58;Pizza Funghi;2;Small;18,0;Sophie;10;52019
2025-10-07;22:43;Pizza Hawaii;1;Small;9,0;Jonas;8;52020
2025-10-07;13:56;Pizza Prosciutto;1;Small;9,0;Mark;11;52021
2025-10-07;13:22;Pizza Salami;3;Small;27,0;Maria;6;52022
2025-10-07;22:01;Pizza Prosciutto;3;Large;33,75;Luca;6;52023
2025-10-07;12:59;Pizza Salami;2;Large;22,5;Jonas;7;52024
2025-10-07;12:17;Pizza Funghi;2;Small;18,0;Maria;5;52025
2025-10-07;19:33;Pizza Prosciutto;1;Small;9,0;Mark;9;52026
2025-10-08;13:59;Pizza Hawaii;2;Large;22,5;Mark;7;52027
2025-10-08;19:16;Pizza Hawaii;1;Small;9,0;Jonas;8;52028
2025-10-08;18:55;Pizza Margherita;1;Medium;8,0;Leon;5;52029
2025-10-08;14:19;Pizza Funghi;1;Small;9,0;Mark;12;52030
2025-10-08;21:01;Pizza Salami;1;Small;9,0;Jonas;10;52031
2025-10-08;13:47;Pizza Diavola;3;Large;37,5;Jonas;1;52032
2025-10-08;11:22;Pizza Funghi;3;Medium;27,0;Luca;8;52033
2025-10-08;19:53;Pizza Hawaii;1;Large;11,25;Mark;12;52034
2025-10-08;19:26;Pizza Prosciutto;1;Large;11,25;Maria;8;52035
2025-10-08;21:57;Pizza Salami;3;Small;27,0;Luca;7;52036
2025-10-08;11:17;Pizza Diavola;2;Large;25,0;Luca;2;52037
2025-10-08;11:05;Pizza Prosciutto;1;Medium;9,0;Jonas;5;52038
2025-10-08;20:25;Pizza Hawaii;2;Medium;18,0;Jonas;10;52039
2025-10-08;12:25;Pizza Margherita;1;Medium;8,0;Mark;9;52040
2025-10-08;12:56;Pizza Salami;3;Medium;27,0;Jonas;7;52041
2025-10-08;22:42;Pizza Salami;3;Medium;27,0;Leon;10;52042
2025-10-08;11:25;Pizza Salami;1;Small;9,0;Mark;1;52043
2025-10-08;13:51;Pizza Prosciutto;3;Large;33,75;Maria;7;52044
2025-10-08;22:13;Pizza Margherita;2;Large;20,0;Mark;1;52045
2025-10-08;22:23;Pizza Diavola;2;Large;25,0;Sophie;2;52046
2025-10-09;13:55;Pizza Salami;3;Small;27,0;Maria;1;52047
2025-10-09;22:42;Pizza Margherita;3;Small;24,0;Jonas;3;52048
2025-10-09;12:57;Pizza Hawaii;2;Medium;18,0;Sophie;6;52049
2025-10-09;17:54;Pizza Funghi;1;Large;11,25;Luca;6;52050
2025-10-09;13:56;Pizza Margherita;1;Large;10,0;Maria;11;52051
2025-10-09;12:43;Pizza Margherita;1;Medium;8,0;Eva;10;52052
2025-10-09;20:24;Pizza Hawaii;2;Small;18,0;Maria;4;52053
2025-10-09;21:17;Pizza Margherita;3;Small;24,0;Luca;11;52054
2025-10-09;22:33;Pizza Margherita;3;Small;24,0;Jonas;5;52055
2025-10-09;17:43;Pizza Hawaii;3;Small;27,0;Luca;5;52056
2025-10-09;11:05;Pizza Prosciutto;2;Medium;18,0;Luca;9;52057
2025-10-09;19:55;Pizza Salami;3;Large;33,75;Luca;3;52058
2025-10-09;21:56;Pizza Diavola;1;Small;10,0;Maria;10;52059
2025-10-09;11:05;Pizza Margherita;2;Small;16,0;Jonas;3;52060
2025-10-09;14:29;Pizza Diavola;3;Medium;30,0;Maria;5;52061
2025-10-09;12:30;Pizza Margherita;3;Small;24,0;Mark;5;52062
2025-10-09;19:50;Pizza Margherita;3;Large;30,0;Maria;6;52063
2025-10-09;14:23;Pizza Funghi;3;Medium;27,0;Maria;12;52064
2025-10-09;20:27;Pizza Prosciutto;3;Medium;27,0;Leon;7;52065
2025-10-09;22:53;Pizza Salami;1;Small;9,0;Jonas;6;52066
2025-10-09;12:50;Pizza Funghi;2;Medium;18,0;Sophie;1;52067
2025-10-09;19:07;Pizza Margherita;2;Medium;16,0;Jonas;11;52068
2025-10-09;14:04;Pizza Margherita;2;Small;16,0;Mark;5;52069
2025-10-09;20:18;Pizza Diavola;1;Large;12,5;Leon;11;52070
2025-10-09;20:46;Pizza Diavola;1;Large;12,5;Jonas;11;52071
2025-10-09;22:36;Pizza Margherita;2;Small;16,0;Jonas;11;52072
2025-10-09;14:12;Pizza Hawaii;3;Medium;27,0;Eva;10;52073
2025-10-10;12:55;Pizza Prosciutto;2;Large;22,5;Maria;6;52074
2025-10-10;18:43;Pizza Margherita;2;Medium;16,0;Luca;9;52075
2025-10-10;12:19;Pizza Prosciutto;1;Large;11,25;Maria;3;52076
2025-10-10;11:16;Pizza Prosciutto;1;Medium;9,0;Sophie;12;52077
2025-10-10;22:54;Pizza Prosciutto;3;Small;27,0;Luca;3;52078
2025-10-10;11:04;Pizza Diavola;2;Large;25,0;Maria;9;52079
2025-10-10;18:13;Pizza Prosciutto;1;Small;9,0;Eva;5;52080
2025-10-10;17:33;Pizza Funghi;3;Small;27,0;Jonas;12;52081
2025-10-10;14:21;Pizza Margherita;1;Medium;8,0;Jonas;6;52082
2025-10-10;11:36;Pizza Hawaii;2;Large;22,5;Luca;10;52083
2025-10-10;19:20;Pizza Funghi;1;Medium;9,0;Leon;11;52084
2025-10-10;19:13;Pizza Hawaii;2;Large;22,5;Sophie;11;52085
2025-10-10;17:44;Pizza Salami;2;Small;18,0;Luca;5;52086
2025-10-10;14:07;Pizza Salami;3;Small;27,0;Jonas;3;52087
2025-10-10;19:37;Pizza Salami;1;Medium;9,0;Jonas;12;52088
2025-10-10;17:24;Pizza Funghi;1;Medium;9,0;Jonas;3;52089
2025-10-10;18:13;Pizza Salami;1;Large;11,25;Maria;10;52090
2025-10-11;13:50;Pizza Salami;2;Medium;18,0;Maria;4;52091
2025-10-11;19:07;Pizza Salami;2;Medium;18,0;Sophie;2;52092
2025-10-11;13:46;Pizza Margherita;1;Medium;8,0;Jonas;6;52093
2025-10-11;12:38;Pizza Hawaii;3;Medium;27,0;Luca;8;52094
2025-10-11;22:56;Pizza Hawaii;1;Large;11,25;Jonas;10;52095
2025-10-11;19:54;Pizza Hawaii;1;Small;9,0;Leon;3;52096
2025-10-11;12:01;Pizza Funghi;2;Small;18,0;Jonas;4;52097
2025-10-11;12:32;Pizza Funghi;2;Small;18,0;Leon;6;52098
2025-10-11;20:44;Pizza Diavola;3;Large;37,5;Luca;3;52099
2025-10-11;21:28;Pizza Funghi;3;Medium;27,0;Eva;11;52100
2025-10-11;11:01;Pizza Hawaii;3;Small;27,0;Luca;10;52101
2025-10-11;19:35;Pizza Prosciutto;2;Small;18,0;Luca;3;52102
2025-10-11;11:19;Pizza Margherita;3;Medium;24,0;Jonas;2;52103
2025-10-11;22:05;Pizza Salami;3;Medium;27,0;Eva;8;52104
2025-10-11;12:42;Pizza Funghi;2;Small;18,0;Eva;12;52105
2025-10-11;22:17;Pizza Margherita;1;Large;10,0;Jonas;1;52106
2025-10-11;14:59;Pizza Hawaii;3;Medium;27,0;Mark;11;52107
2025-10-11;20:47;Pizza Hawaii;1;Medium;9,0;Maria;2;52108
2025-10-11;18:48;Pizza Hawaii;3;Medium;27,0;Luca;3;52109
2025-10-11;22:50;Pizza Prosciutto;1;Large;11,25;Jonas;12;52110
2025-10-11;11:21;Pizza Prosciutto;3;Medium;27,0;Sophie;8;52111
2025-10-11;12:36;Pizza Funghi;1;Large;11,25;Jonas;2;52112
2025-10-11;14:53;Pizza Margherita;3;Large;30,0;Leon;7;52113
2025-10-11;22:54;Pizza Salami;3;Small;27,0;Maria;7;52114
2025-10-11;21:46;Pizza Salami;1;Large;11,25;Maria;6;52115
2025-10-11;18:51;Pizza Margherita;1;Medium;8,0;Luca;11;52116
2025-10-11;11:34;Pizza Salami;3;Small;27,0;Luca;2;52117
2025-10-11;12:10;Pizza Salami;2;Small;18,0;Maria;3;52118
2025-10-11;12:26;Pizza Funghi;2;Small;18,0;Jonas;9;52119
2025-10-11;19:58;Pizza Prosciutto;3;Large;33,75;Maria;11;52120
2025-10-11;14:24;Pizza Salami;3;Large;33,75;Maria;10;52121
2025-10-11;11:23;Pizza Prosciutto;1;Medium;9,0;Jonas;4;52122
2025-10-11;13:42;Pizza Diavola;2;Large;25,0;Luca;6;52123
2025-10-11;12:20;Pizza Funghi;1;Medium;9,0;Maria;10;52124
2025-10-11;14:40;Pizza Diavola;1;Medium;10,0;Eva;10;52125
2025-10-11;22:27;Pizza Margherita;3;Large;30,0;Luca;5;52126
2025-10-11;17:06;Pizza Margherita;1;Medium;8,0;Sophie;1;52127
2025-10-11;12:22;Pizza Diavola;3;Small;30,0;Maria;2;52128
2025-10-11;13:31;Pizza Diavola;2;Large;25,0;Luca;2;52129
2025-10-11;11:28;Pizza Margherita;2;Large;20,0;Maria;8;52130
2025-10-11;19:17;Pizza Prosciutto;1;Small;9,0;Jonas;6;52131
2025-10-11;18:01;Pizza Funghi;2;Large;22,5;Luca;3;52132
2025-10-11;12:29;Pizza Diavola;2;Large;25,0;Luca;5;52133
2025-10-11;20:00;Pizza Salami;1;Large;11,25;Jonas;8;52134
2025-10-11;13:31;Pizza Salami;2;Medium;18,0;Jonas;2;52135
2025-10-11;12:33;Pizza Prosciutto;1;Medium;9,0;Jonas;11;52136
2025-10-11;14:31;Pizza Funghi;2;Medium;18,0;Maria;1;52137
2025-10-12;17:56;Pizza Diavola;3;Medium;30,0;Eva;1;52138
2025-10-12;13:58;Pizza Diavola;3;Medium;30,0;Leon;5;52139
2025-10-12;12:56;Pizza Prosciutto;3;Medium;27,0;Maria;12;52140
2025-10-12;19:32;Pizza Salami;3;Small;27,0;Jonas;12;52141
2025-10-12;19:31;Pizza Diavola;2;Large;25,0;Jonas;6;52142
2025-10-12;22:42;Pizza Hawaii;1;Medium;9,0;Eva;7;52143
2025-10-12;12:30;Pizza Hawaii;3;Medium;27,0;Sophie;10;52144
2025-10-12;18:06;Pizza Salami;1;Large;11,25;Jonas;7;52145
2025-10-12;13:47;Pizza Prosciutto;1;Small;9,0;Maria;3;52146
2025-10-12;21:59;Pizza Funghi;2;Medium;18,0;Sophie;2;52147
2025-10-12;21:19;Pizza Salami;3;Small;27,0;Jonas;7;52148
2025-10-12;12:02;Pizza Funghi;3;Small;27,0;Maria;12;52149
2025-10-12;14:04;Pizza Prosciutto;1;Small;9,0;Luca;2;52150
2025-10-12;12:08;Pizza Funghi;2;Large;22,5;Jonas;4;52151
2025-10-12;19:51;Pizza Prosciutto;2;Medium;18,0;Jonas;3;52152
2025-10-12;17:09;Pizza Diavola;2;Small;20,0;Luca;3;52153
2025-10-12;12:22;Pizza Funghi;1;Small;9,0;Eva;3;52154
2025-10-12;11:13;Pizza Margherita;1;Medium;8,0;Jonas;10;52155
2025-10-12;21:24;Pizza Salami;3;Large;33,75;Sophie;11;52156
2025-10-12;12:42;Pizza Prosciutto;2;Small;18,0;Maria;8;52157
2025-10-12;18:28;Pizza Margherita;1;Medium;8,0;Eva;6;52158
2025-10-12;21:10;Pizza Funghi;2;Small;18,0;Maria;1;52159
2025-10-12;21:41;Pizza Hawaii;1;Medium;9,0;Eva;11;52160
2025-10-12;11:36;Pizza Hawaii;1;Large;11,25;Maria;8;52161
2025-10-12;14:22;Pizza Funghi;1;Large;11,25;Eva;8;52162
2025-10-12;11:26;Pizza Funghi;1;Large;11,25;Jonas;8;52163
2025-10-12;13:39;Pizza Funghi;2;Small;18,0;Mark;2;52164
2025-10-12;17:52;Pizza Prosciutto;3;Large;33,75;Jonas;3;52165
2025-10-12;17:25;Pizza Hawaii;1;Small;9,0;Maria;9;52166
2025-10-12;12:45;Pizza Funghi;2;Large;22,5;Maria;5;52167
2025-10-12;13:00;Pizza Salami;3;Medium;27,0;Eva;11;52168
2025-10-12;13:25;Pizza Margherita;1;Medium;8,0;Luca;9;52169
2025-10-12;14:10;Pizza Margherita;1;Medium;8,0;Jonas;11;52170
2025-10-12;19:53;Pizza Funghi;2;Small;18,0;Jonas;11;52171
2025-10-12;14:53;Pizza Diavola;2;Medium;20,0;Jonas;12;52172
2025-10-12;17:57;Pizza Margherita;3;Medium;24,0;Jonas;2;52173
2025-10-12;13:51;Pizza Prosciutto;3;Large;33,75;Maria;3;52174
2025-10-12;19:44;Pizza Margherita;3;Large;30,0;Eva;11;52175
2025-10-12;12:01;Pizza Margherita;1;Medium;8,0;Luca;6;52176
2025-10-12;14:16;Pizza Prosciutto;1;Small;9,0;Sophie;8;52177
2025-10-12;13:39;Pizza Diavola;2;Small;20,0;Leon;2;52178
2025-10-12;13:02;Pizza Prosciutto;2;Small;18,0;Jonas;12;52179
2025-10-12;20:50;Pizza Funghi;2;Small;18,0;Jonas;3;52180
